case_id,faa_ors,faa_asn,usgs_pr_id,eia_id,t_state,t_county,t_fips,p_name,p_year,p_tnum,p_cap,t_manu,t_model,t_cap,t_hh,t_rd,t_rsa,t_ttlh,offshore,retrofit,retrofit_y,t_conf_atr,t_conf_loc,t_img_date,t_img_srce,xlong,ylat,geometry,cluster_label,xlong_centroid,ylat_centroid,geometry_centroid
3027324.0,48-015121,2008.0,40263.0,-9999.0,TX,Lubbock County,48303,American Windmill Museum,2005.0,1.0,0.66,Vestas,V47-0.66,660.0,50.0,47.0,1734.94,73.5,0.0,0.0,-9999.0,3.0,3.0,2020-09-03,Maxar,-101.823891,33.580894,POINT (-101.823891 33.580894),0,-101.78907236363638,33.55963918181818,POINT (-101.78907236363638 33.55963918181818)
3032456.0,48-025054,2009.0,40262.0,57259.0,TX,Lubbock County,48303,Lubbock Wind Ranch,2010.0,1.0,2.5,Samsung,S2.5-90,2500.0,80.0,90.0,6361.73,125.0,0.0,0.0,-9999.0,3.0,3.0,2020-12-04,Maxar,-101.758888,33.569294,POINT (-101.758888 33.569294),0,-101.78907236363638,33.55963918181818,POINT (-101.78907236363638 33.55963918181818)
3032454.0,48-023962,2009.0,40260.0,57259.0,TX,Lubbock County,48303,Lubbock Wind Ranch,2010.0,1.0,2.5,Samsung,S2.5-90,2500.0,80.0,90.0,6361.73,125.0,0.0,0.0,-9999.0,3.0,3.0,2020-12-04,Maxar,-101.765289,33.569294,POINT (-101.765289 33.569294),0,-101.78907236363638,33.55963918181818,POINT (-101.78907236363638 33.55963918181818)
3032455.0,48-025069,2009.0,40261.0,57259.0,TX,Lubbock County,48303,Lubbock Wind Ranch,2010.0,1.0,2.5,Samsung,S2.5-90,2500.0,80.0,90.0,6361.73,125.0,0.0,0.0,-9999.0,3.0,3.0,2020-12-04,Maxar,-101.762093,33.569294,POINT (-101.762093 33.569294),0,-101.78907236363638,33.55963918181818,POINT (-101.78907236363638 33.55963918181818)
3027355.0,48-020699,2008.0,40250.0,61848.0,TX,Lubbock County,48303,PYCO Soaring Wind Farm,2008.0,10.0,10.0,Fuhrlander,FL1000,1000.0,70.0,54.0,2290.22,96.9,0.0,0.0,-9999.0,3.0,3.0,2017-12-14,Bing Maps Aerial,-101.792992,33.549694,POINT (-101.792992 33.549694),0,-101.78907236363638,33.55963918181818,POINT (-101.78907236363638 33.55963918181818)
3027353.0,48-020701,2008.0,40254.0,61848.0,TX,Lubbock County,48303,PYCO Soaring Wind Farm,2008.0,10.0,10.0,Fuhrlander,FL1000,1000.0,70.0,54.0,2290.22,96.9,0.0,0.0,-9999.0,3.0,3.0,2017-12-14,Maxar,-101.789589,33.552494,POINT (-101.789589 33.552494),0,-101.78907236363638,33.55963918181818,POINT (-101.78907236363638 33.55963918181818)
3019947.0,48-020737,2006.0,40256.0,61848.0,TX,Lubbock County,48303,PYCO Soaring Wind Farm,2008.0,10.0,10.0,Fuhrlander,FL1000,1000.0,70.0,54.0,2290.22,96.9,0.0,0.0,-9999.0,3.0,3.0,2017-12-14,Bing Maps Aerial,-101.792389,33.553192,POINT (-101.792389 33.553192),0,-101.78907236363638,33.55963918181818,POINT (-101.78907236363638 33.55963918181818)
3027356.0,48-020698,2008.0,40252.0,61848.0,TX,Lubbock County,48303,PYCO Soaring Wind Farm,2008.0,10.0,10.0,Fuhrlander,FL1000,1000.0,70.0,54.0,2290.22,96.9,0.0,0.0,-9999.0,3.0,3.0,2017-12-14,Bing Maps Aerial,-101.797089,33.549793,POINT (-101.797089 33.549793),0,-101.78907236363638,33.55963918181818,POINT (-101.78907236363638 33.55963918181818)
3027351.0,48-020702,2008.0,40258.0,61848.0,TX,Lubbock County,48303,PYCO Soaring Wind Farm,2008.0,10.0,10.0,Fuhrlander,FL1000,1000.0,70.0,54.0,2290.22,96.9,0.0,0.0,-9999.0,3.0,3.0,2019-02-26,Bing Maps Aerial,-101.797188,33.554695,POINT (-101.797188 33.554695),0,-101.78907236363638,33.55963918181818,POINT (-101.78907236363638 33.55963918181818)
3027358.0,48-020697,2008.0,40255.0,61848.0,TX,Lubbock County,48303,PYCO Soaring Wind Farm,2008.0,10.0,10.0,Fuhrlander,FL1000,1000.0,70.0,54.0,2290.22,96.9,0.0,0.0,-9999.0,3.0,3.0,2017-12-14,Bing Maps Aerial,-101.800194,33.552494,POINT (-101.800194 33.552494),0,-101.78907236363638,33.55963918181818,POINT (-101.78907236363638 33.55963918181818)
3019945.0,48-020735,2006.0,40259.0,61848.0,TX,Lubbock County,48303,PYCO Soaring Wind Farm,2008.0,10.0,10.0,Fuhrlander,FL1000,1000.0,70.0,54.0,2290.22,96.9,0.0,0.0,-9999.0,3.0,3.0,2021-03-24,Bing Maps Aerial,-101.800194,33.554893,POINT (-101.800194 33.554893),0,-101.78907236363638,33.55963918181818,POINT (-101.78907236363638 33.55963918181818)
3041410.0,48-026840,2011.0,42746.0,58000.0,TX,Kinney County,48271,Anacacho,2012.0,55.0,99.0,Vestas,V100-1.8,1800.0,80.0,100.0,7853.98,130.1,0.0,0.0,-9999.0,3.0,3.0,2019-05-31,Maxar,-100.140892,29.214495,POINT (-100.140892 29.214495),1,-100.19356382608694,29.19061739130434,POINT (-100.19356382608694 29.19061739130434)
3044259.0,48-026863,2012.0,42747.0,58000.0,TX,Kinney County,48271,Anacacho,2012.0,55.0,99.0,Vestas,V100-1.8,1800.0,80.0,100.0,7853.98,130.1,0.0,0.0,-9999.0,3.0,3.0,2020-11-17,Maxar,-100.162323,29.214872,POINT (-100.162323 29.214872),1,-100.19356382608694,29.19061739130434,POINT (-100.19356382608694 29.19061739130434)
3043933.0,48-030775,2012.0,42857.0,58000.0,TX,Kinney County,48271,Anacacho,2012.0,55.0,99.0,Vestas,V100-1.8,1800.0,80.0,100.0,7853.98,130.1,0.0,0.0,-9999.0,3.0,3.0,2020-11-17,Maxar,-100.197395,29.186094,POINT (-100.197395 29.186094),1,-100.19356382608694,29.19061739130434,POINT (-100.19356382608694 29.19061739130434)
3041433.0,48-030800,2011.0,42871.0,58000.0,TX,Kinney County,48271,Anacacho,2012.0,55.0,99.0,Vestas,V100-1.8,1800.0,80.0,100.0,7853.98,130.1,0.0,0.0,-9999.0,3.0,3.0,2017-05-02,Maxar,-100.222992,29.167894,POINT (-100.222992 29.167894),1,-100.19356382608694,29.19061739130434,POINT (-100.19356382608694 29.19061739130434)
3044260.0,48-027063,2012.0,42826.0,58000.0,TX,Kinney County,48271,Anacacho,2012.0,55.0,99.0,Vestas,V100-1.8,1800.0,80.0,100.0,7853.98,130.1,0.0,0.0,-9999.0,3.0,3.0,2020-11-17,Maxar,-100.167648,29.211025,POINT (-100.167648 29.211025),1,-100.19356382608694,29.19061739130434,POINT (-100.19356382608694 29.19061739130434)
3007319.0,48-030774,2012.0,49134.0,58000.0,TX,Kinney County,48271,Anacacho,2012.0,55.0,99.0,Vestas,V100-1.8,1800.0,80.0,100.0,7853.98,130.1,0.0,0.0,-9999.0,3.0,3.0,2020-11-17,Maxar,-100.196136,29.187666,POINT (-100.196136 29.187666),1,-100.19356382608694,29.19061739130434,POINT (-100.19356382608694 29.19061739130434)
